name,rating
Pierre Force,3.0769
Qingmin Liu,2.75
Rachel Adams,2.65
Rachel Moresky,4.25
Raimondo Betti,3.5
Ramone Segree,3.0
Randall Reback,2.8667
Raymond Farinato,3.5
Rebecca Kastleman,4.1667
Reshmi Mukherjee,3.3333
Robert Beer,2.5909
Robert E Remez,2.7778
Robert L Amdur,3.6875
Robin T Kelley,4.0
Ron M Prywes,2.5
Rosalind Morris,3.1111
Ross Posnock,3.0909
Ruben M Savizky,2.9167
Russell D Romeo,3.8182
Russell J O'Rourke,4.0
Ruth Opara,2.0
Sally W Aboelela,2.4
Samuel F Yulsman,3.0
Sandeep Singh,5.0
Sarah M Gertler,1.0
Sarah Woolley,3.0
Satyajit Bose,3.8333
Scott B Kaufman,2.75
Scott B Martin,2.0
Seth R Kimmel,3.6
Sharon Harrison,3.3529
Simona C Vaidean,4.0
Sonja G Wermager,5.0
Soulaymane Kachani,3.0
Stephanie Ahrens,1.0
Steven L Goldstein,2.4286
Stuart J Firestein,2.7778
Sunil K Gulati,3.5492
Susan Pedersen,4.1818
Susannah E Blair,4.2857
Svetlana Komissarouk,3.8889
Talese Hunt,3.0
Talha Siddiqui,3.0
Tara Well,3.2857
Tiago Altavini,5.0
Tracey Holland,2.0
Travis Bradford,4.0
Tri Vi Dang,3.2
Tyler C Archer,5.0
Vincent Mccloskey,3.6667
Vincent R Racaniello,3.5833
Vrinda Condillac,3.4762
Waiching Sun,2.0
Waldo Ojeda,4.0
Wally Suphap,2.6
Waseem Noor,3.2857
William Reinisch,2.0
Wolfgang R Mann,2.7429
Xiaobo Lu,2.9762
Xiaodong Wang,2.875
Xunyu Zhou,1.0
Yana Skorobogatov,4.3333
Yongwhan Lim,3.6667
Zoe Crossland,2.7778
Zoran Kostic,2.6667
