course_code,name,rating
FYWB BC1001,Elizabeth Weybright,3.8
ENGL CC1010,Emily E Weitzman,4.0
ENGL CC1010,Emily E Weitzman,4.0
HUMA CC1002,Emily L Madison,3.8333
ENGL CC1010,Emily M Suazo,4.7143
ENGL GS1010,Emily M Suazo,4.7143
CPLT BC3997,Emily Sun,3.8333
ENGL CC1010,Erag Ramizi,3.0
PHYS UN1405,Eric Raymer,3.9167
PHYS UN1405,Eric Raymer,3.9167
PHYS UN1405,Eric Raymer,3.9167
PHYS UN1405,Eric Raymer,3.9167
COCI CC1102,Ethan Jacobs,3.6
ENGL BC3155,Eugene A Petracca,4.0
POLS UN3921,Eunji Kim,2.0
HRTS UN3995,Felisa Tibbitts,4.0
ENGL CC1010,Finn A Anderson,3.4444
PHIL GU4718,Francey Russell,5.0
PHYS GR6047,Frederik Denef,3.0
MUSI UN1596,Gail R Archer,3.4583
ECON GR8440,Gautam Gowrisankaran,2.5
RELI GR6314,Gil Anidjar,3.15
ECON GR6450,Graciela Chichilnisky,2.3333
QMSS GR5021,Gregory M Eirich,3.0
QMSS GR5022,Gregory M Eirich,3.0
ENME E6333,Haim Waisman,3.3333
HUMA CC1002,Hamid Dabashi,2.6071
HUMA UN1123,Hannah S Kendall,3.0
FREN UN2121,Hayet Sellami,4.0
PHYS UN1405,Hector Ochoa,3.0
PHYS UN1405,Hector Ochoa,3.0
PHYS UN1405,Hector Ochoa,3.0
PHYS UN1405,Hector Ochoa,3.0
SUMA PS4100,Howard N Apsan,3.0
ENME E4113,Huiming Yin,3.0
RELI BC3996,Hussein Rashid,4.5
ENGL BC3992,Idra L Novey,2.6667
HUMA UN1121,Ioanna Theocharopoulou,2.75
ELEN E4815,Irving Kalet,4.0
MATH GR5051,Jaehyuk Choi,1.0
PHYS GU4040,James C Hill,2.2
HUMA CC1002,James E Adams,3.1444666666666663
CHEM UN2047,James Leighton,4.0588
CHEM UN2448,James Leighton,4.0588
CHEM UN2448,James Leighton,4.0588
CHEM UN2448,James Leighton,4.0588
HIST GU4355,James Stafford,3.0
FILM AF5710,Jason R Lariviere,4.0
SDEV GU4660,Jenna M Lawrence,3.5
SUMA PS5140,Jenna M Lawrence,3.5
COCI CC1102,Jennifer Mcdonald,5.0
AMST UN1010,Jeremy Dauber,3.4118
AMST UN3920,Jeremy Dauber,3.4118
PHYS UN1204,Jeremy R Dodd,3.1212
PHYS UN1204,Jeremy R Dodd,3.1212
